geohash7;CONNECTION_ENODEBID;CONNECTION_MOBILECHANNEL;CONNECTION_BAND;LOCATION_ALTITUDE;LOCATION_HORIZONTALACCURACY;LOCATION_VERTICALACCURACY;LOCATION_AVAILABILITY;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE;QOS_DOWNLOADTHROUGHPUTTESTSIZE;QOS_LATENCYMIN;QOS_LATENCYAVERAGE;QOS_JITTERMIN;QOS_JITTERAVERAGE;QOS_PACKETLOSSDISCARDPERCENTAGE;QOS_PACKETLOSSLOSTPERCENTAGE;QOS_ICMPLATENCYMIN;QOS_LINKDOWNSTREAMBANDWIDTH;QOS_LINKUPSTREAMBANDWIDTH;QOS_SIGNALLEVEL;QOS_ASU;QOS_DELTATRANSMITTEDBYTES;QOS_DELTARECEIVEDBYTES;QOS_DELTATRANSCEIVEDBYTES;QOS_RSSNR;QOS_TA;LOCATION_HORIZONTALACCURACYASSESSMENT;QOS_UPLOADTHROUGHPUTDNSLOOKUP;QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_DOWNLOADTHROUGHPUTDNSLOOKUP;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_SERVERRESPONSEDNSLOOKUP;QOS_ICMPLATENCYAVERAGE;QOS_ICMPPACKETLOSSLOSTPERCENTAGE;QOS_ICMPTESTCONFIGPACKETDELAY;QOS_ICMPTESTCONFIGPACKETSIZE;QOS_ICMPTESTCONFIGSENTPACKETS;QOS_ICMPTESTCONFIGTTL;QOS_ICMPTESTCONFIGBYTESSENT;QOS_ICMPTESTCONFIGARGUMENTS;QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY;QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT;QOS_ICMPTRACEROUTETESTSENTPACKETS;QOS_VISIBLECELLTOWERS;QOS_CELLBANDWIDTHS;Operador;LAT;LON;Potencia;Calidad;hora;Hora_etiq;bytes_tras;bytres_rec;bytes_tot;tiempo_conec;vel_subida;vel_bajada;Clasif_Vel_baj;CONNECTION_CATEGORY;QOS_LOCALDATE
63vtx5z;524.584,00;9.360;700 MHz APT (Band 28);558;17;1,33;AVAILABLE;446;2.097.152;78,81;124,27;0,76;12,02;0;0;10,15;30.000;15.000;4;50;1.253.596;3.608.969;4.862.565;1;12;5.954,09;44;328;250;383;1.269;17,97;0;200;32;10;5;60;;200;30;3;7;10000;A;-34,17;-70,7;-90;-14;20;20_21;1.253.596;3.608.969;4.862.565;528;6.597,28;2.782,27;0;4G;06-01-2022 20:00:00.000000
63vtx6k;3.715,00;2.900;2600 MHz (Band 7);571;77;1,33;AVAILABLE;970;5.242.880;34,41;43,17;0,02;3,35;2;1;99,82;102.400;51.200;3;37;1.371.804;5.863.950;7.235.754;7;3;0;52;284;45;538;43;104,46;0;200;32;10;236;60;;200;30;3;2;;D;-34,18;-70,69;-103;-13;21;21_22;1.371.804;5.863.950;7.235.754;71;12.780,23;16.673,20;1;4G;06-01-2022 21:00:00.000000
63vtx1y;524.584,00;1.000;1900 MHz (Band 2);571,8;18,36;1,33;AVAILABLE;390;2.097.152;33,33;39,04;0,14;3,77;3;0;8,57;102.400;51.200;2;52;1.239.533;2.272.489;3.512.022;7;10;0;18;220;87;237;35;11,64;0;200;32;10;12;60;;200;30;3;5;;Otro;-34,18;-70,7;-86;-9;9;9_10;1.239.533;2.272.489;3.512.022;51;8.525,67;2.108,40;0;4G;07-01-2022 09:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,5;30;1,33;AVAILABLE;201;2.097.152;31,74;37,38;0,05;3,08;0;0;7,81;30.000;15.000;4;50;1.192.490;3.864.437;5.056.927;22;1;0;80;197;39;143;36;15,03;0;200;32;10;13;60;;200;30;3;2;15000, 20000;B;-34,18;-70,69;-90;-11;9;9_10;1.192.490;3.864.437;5.056.927;480;23.120,00;31.610,05;1;4G;07-01-2022 09:00:00.000000
63vtx61;524.584,00;1.000;1900 MHz (Band 2);570,1;62,05;1,33;AVAILABLE;653;5.242.880;34,36;49,5;0,18;9,45;0;0;11,34;30.000;15.000;4;46;1.242.744;5.578.429;6.821.173;11;0;0;721;1.124;139;559;153;21,5;0;200;32;10;14;60;;200;30;3;1;10000;A;-34,18;-70,69;-94;-15;11;11_12;1.242.744;5.578.429;6.821.173;171;6.494,31;5.055,96;0;4G;07-01-2022 11:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,5;20;10,76;AVAILABLE;221;2.097.152;32,94;39,03;0,03;3,92;0;0;10,23;30.000;15.000;3;36;1.267.795;3.937.967;5.205.762;7;1;0;35;172;31;149;44;16,45;0;200;32;10;13;60;;200;30;3;2;15000;B;-34,18;-70,69;-104;-9;17;17_18;1.267.795;3.937.967;5.205.762;1.527;4.398,42;40.365,20;1;4G;07-01-2022 17:00:00.000000
63vtx6u;12.994,00;3.100;2600 MHz (Band 7);568,4;33,36;1,33;AVAILABLE;204;2.097.152;36,76;39,11;0,02;1,39;0;0;10,42;30.000;15.000;4;63;1.210.329;2.715.915;3.926.244;20;1;0;57;196;27;133;53;15,4;0;200;32;10;14;60;;200;30;3;7;15000, 20000;C;-34,17;-70,69;-77;-7;4;4_5;1.210.329;2.715.915;3.926.244;112;5.521,70;53.703,46;1;4G;08-01-2022 04:00:00.000000
63vtx6s;16.789,00;66.961;1700 MHz Extended AWS (Band 66);568,5;39,6;14,15;AVAILABLE;206;2.097.152;31,82;38,91;0,04;3,77;0;0;7,41;30.000;15.000;4;54;1.257.107;3.897.958;5.155.065;14;1;6.693,63;40;158;38;122;50;8,81;0;200;32;10;112;60;;200;30;3;1;15000;B;-34,18;-70,69;-86;-8;9;9_10;1.257.107;3.897.958;5.155.065;10;6.474,09;45.382,60;1;4G;08-01-2022 09:00:00.000000
63vtx1g;524.584,00;3.300;2600 MHz (Band 7);567,6;98,4;1,33;AVAILABLE;288;2.097.152;34,27;43,54;0,04;5,1;0;0;15,01;30.000;15.000;2;35;1.279.765;2.550.346;3.830.111;3;9;0;33;211;46;174;43;21,29;0;200;32;10;106;60;;200;30;3;25;;A;-34,18;-70,7;-105;-15;10;10_11;1.279.765;2.550.346;3.830.111;696;1.970,06;7.200,48;0;4G;08-01-2022 10:00:00.000000
63vtx66;12.994,00;1.125;1900 MHz (Band 2);568,3;5,71;1,5;AVAILABLE;343;2.097.152;35,87;38,43;0,01;1,79;0;0;11,54;30.000;15.000;4;62;1.295.905;2.288.909;3.584.814;6;2;0;34;191;32;257;45;15,25;0;200;32;10;54;60;;200;30;3;6;15000, 20000;C;-34,18;-70,69;-78;-14;11;11_12;1.295.905;2.288.909;3.584.814;22;32.435,66;29.134,95;1;4G;08-01-2022 11:00:00.000000
