	CONNECTION_ENODEBID	CONNECTION_MOBILECHANNEL	CONNECTION_BAND	LOCATION_ALTITUDE	LOCATION_HORIZONTALACCURACY	LOCATION_VERTICALACCURACY	LOCATION_AVAILABILITY	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE	QOS_DOWNLOADTHROUGHPUTTESTSIZE	QOS_LATENCYMIN	QOS_LATENCYAVERAGE	QOS_JITTERMIN	QOS_JITTERAVERAGE	QOS_PACKETLOSSDISCARDPERCENTAGE	QOS_PACKETLOSSLOSTPERCENTAGE	QOS_ICMPLATENCYMIN	QOS_LINKDOWNSTREAMBANDWIDTH	QOS_LINKUPSTREAMBANDWIDTH	QOS_SIGNALLEVEL	QOS_ASU	QOS_DELTATRANSMITTEDBYTES	QOS_DELTARECEIVEDBYTES	QOS_DELTATRANSCEIVEDBYTES	QOS_RSSNR	QOS_TA	LOCATION_HORIZONTALACCURACYASSESSMENT	QOS_UPLOADTHROUGHPUTDNSLOOKUP	QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_DOWNLOADTHROUGHPUTDNSLOOKUP	QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS	QOS_SERVERRESPONSEDNSLOOKUP	QOS_ICMPLATENCYAVERAGE	QOS_ICMPPACKETLOSSLOSTPERCENTAGE	QOS_ICMPTESTCONFIGPACKETDELAY	QOS_ICMPTESTCONFIGPACKETSIZE	QOS_ICMPTESTCONFIGSENTPACKETS	QOS_ICMPTESTCONFIGTTL	QOS_ICMPTESTCONFIGBYTESSENT	QOS_ICMPTESTCONFIGARGUMENTS	QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY	QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT	QOS_ICMPTRACEROUTETESTSENTPACKETS	QOS_VISIBLECELLTOWERS	QOS_CELLBANDWIDTHS	Operador	LAT	LON	Potencia	Calidad	hora	Hora_etiq	bytes_tras	bytres_rec	bytes_tot	tiempo_conec	vel_subida	vel_bajada	Clasif_Vel_baj	CONNECTION_CATEGORY	MES
360	524584.0	3300	2600 MHz (Band 7)	569.4000244140625	26.399999618530273	2.3502392768859863	AVAILABLE	224	2097152	36.992972	42.727283	0.016354	2.982575	0.0	0.0	10.87	102400	51200	3	33	1155055	2237004	3392059	15	5	0.008829842356667148	111	268	28	147	56	16.508	0.0	200	32	10	19	60		200	30	3	2		A	-34.17228698730469	-70.68122863769531	-107	-12	5	5_6	1155055	2237004	3392059	2676	12083.45841715928	45672.0260410625	1	4G	2022-10-01
361	16789.0	66786	1700 MHz Extended AWS (Band 66)	567.1000366210938	35.12699890136719	0.9842494130134583	AVAILABLE	195	2097152	33.152827	39.739507	0.001019	2.003419	12.0	0.0	15.73	30000	15000	1	50	1161061	2292047	3453108	0	10	5954.087524034022	55	204	31	102	46	21.244	0.0	200	32	10	8	60		200	30	3	2		B	-34.17778015136719	-70.69908142089844	-90	-13	20	20_21	1161061	2292047	3453108	480	2930.400415994159	21341.516735359575	1	4G	2023-06-01
362	12994.0	1125	1900 MHz (Band 2)	571.2000122070312	11.392999649047852	1.402100682258606	AVAILABLE	150	5242880	36.340576	39.742302	0.055625	2.563673	0.0	0.0	9.7185	10643	7336	4	62	1300575	5986130	7286705	14	1	0.0	25	126	26	89	46	12.147	0.0	200	32	10	18	60		200	30	3	4		C	-34.17366027832031	-70.69084167480469	-78	-14	11	11_12	1300575	5986130	7286705	290	28808.52125544473	9644.64291958691	0	4G	2022-05-01
363	12994.0	3100	2600 MHz (Band 7)	573.5	56.099998474121094	8.217778205871582	AVAILABLE	246	2097152	76.092461	86.054421	0.103424	5.506085	0.0	0.0	12.9995	30000	15000	3	36	1224222	2478075	3702297	17	5	4717.560986729383	94	328	44	158	34	15.852	0.0	200	32	10	12	60		200	30	3	1	15000, 20000	C	-34.17778015136719	-70.68809509277344	-104	-9	15	15_16	1224222	2478075	3702297	975	8589.345297620013	15531.757890960838	1	4G	2022-10-01
364	3715.0	2900	2600 MHz (Band 7)	566.0	51.0	8.318222999572754	UNKNOWN	791	2097152	36.661406	60.296375	0.078828	7.265365	0.0	0.0	10.5275	30000	15000	0	32	1218150	3154883	4373033	-6	5	6094.458485418295	39	357	36	364	27	11.2935	0.0	200	32	10	9	60		200	30	3	7		D	-34.17640686035156	-70.70045471191406	-108	-20	19	19_20	1218150	3154883	4373033	16	8448.148523566146	6183.7607308963825	0	4G	2022-05-01
365	3715.0	2900	2600 MHz (Band 7)	579.800048828125	122.4000015258789	17.619882583618164	AVAILABLE	182	2097152	35.884884	38.607738	0.00473	2.265908	0.0	0.0	9.7215	33987	28650	1	36	1466999	2260337	3727336	-1	11	0.0	40	166	29	103	23	12.096	0.0	200	32	10	8	60		200	30	3	2	20000	D	-34.18327331542969	-70.69084167480469	-104	-13	17	17_18	1466999	2260337	3727336	732	3072.7997931816876	16173.683285081352	1	4G	2023-03-01
366	524584.0	9360	700 MHz APT (Band 28)	557.6000366210938	12.614999771118164	1.293621301651001	AVAILABLE	253	2097152	33.105231	45.066197	0.001308	3.959516	0.0	0.0	7.6935	2547	298	4	34	1464817	6422908	7887725	-3	12	4717.560986729383	43	142	22	124	29	10.0315	0.0	200	32	10	10	60		200	30	3	2	10000	A	-34.16816711425781	-70.69770812988281	-106	-15	15	15_16	1464817	6422908	7887725	15	3787.142665913935	6586.542263684324	0	4G	2023-02-01
367	16789.0	2300	1700 MHz AWS-1 (Band 4)	573.0	23.0	2.173715591430664	UNKNOWN	496	2097152	36.063653	45.084701	0.103039	3.970129	3.0	0.0	13.1975	30000	15000	3	38	1239798	2312009	3551807	12	4	0.0006969515046591396	110	336	45	283	51	21.287	0.0	200	32	10	7	60		200	30	3	1		B	-34.17778015136719	-70.68946838378906	-102	-10	21	21_22	1239798	2312009	3551807	16197	12589.918166864707	26395.292994078114	1	4G	2022-06-01
368	524584.0	9360	700 MHz APT (Band 28)	571.7000122070312	39.599998474121094	4.7023234367370605	AVAILABLE	182	5242880	33.843192	37.735882	0.013538	2.998584	0.0	0.0	7.3705	4832	15000	3	35	1324381	5731221	7055602	8	10	0.48424544716841206	26	86	32	99	17	9.908	0.0	200	32	10	5	60		200	30	3	2	10000	A	-34.17503356933594	-70.68122863769531	-105	-12	16	16_17	1324381	5731221	7055602	17	3289.28865350807	8603.48901941591	0	4G	2023-02-01
369	16789.0	1425	1800+ MHz (Band 3)	515.5	11.505000114440918	1.0	NOT_AVAILABLE	259	5242880	35.338645	42.238444	0.00388	3.153606	12.0	0.0	11.4295	102400	51200	3	44	1287118	5534972	6822090	15	3	597.9003600000001	107	255	28	159	76	21.691	0.0	200	32	10	12	60		200	30	3	4		B	-34.15580749511719	-70.75263977050781	-102	-15	18	18_19	1287118	5534972	6822090	2695	9790.168449890487	39145.607936336666	1	4G	2023-03-01
